"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "Vue", "CSS", "XML", "JSON with Comments", "Database", "comment", "blank", "total"
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_05_18_022730_create_perfil_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 34
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_05_18_023146_create_visitantes_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 30
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_05_30_204617_create_condominios_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 33
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_05_30_204650_create_galeria_condominios_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 31
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_05_30_204912_create_tipo_viviendas_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 29
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_01_181807_create_permission_tables.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24, 139
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_01_220346_add_two_factor_columns_to_users_table.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 47
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_01_220422_create_personal_access_tokens_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 33
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_02_091518_create_viviendas_table.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 37
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_02_091607_create_habitantes_table.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 36
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_02_091907_create_galeria_viviendas_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 32
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_02_092104_create_tipo_visitas_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 30
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_02_092156_create_vehiculos_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 31
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_02_092238_create_ingresos_table.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 44
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_02_092441_create_detalle_no_autorizados_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 31
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_06_02_092511_create_galeria_ingresos_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 32
"d:\servidores\xampp\htdocs\SEA\database\seeders\CondominioSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\DatabaseSeeder copy.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 26
"d:\servidores\xampp\htdocs\SEA\database\seeders\DatabaseSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 26
"d:\servidores\xampp\htdocs\SEA\database\seeders\DetalleNoAutorizadoSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\GaleriaIngresoSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\GaleriaViviendaSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\HabitanteSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\IngresoSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\PerfilSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\TipoDocumentoSeeder.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 47
"d:\servidores\xampp\htdocs\SEA\database\seeders\TipoVisitaSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\TipoViviendaSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\VehiculoSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\VisitanteSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\database\seeders\ViviendaSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"d:\servidores\xampp\htdocs\SEA\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\servidores\xampp\htdocs\SEA\package-lock.json", "JSON", 0, 0, 0, 2968, 0, 0, 0, 0, 0, 0, 1, 2969
"d:\servidores\xampp\htdocs\SEA\package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"d:\servidores\xampp\htdocs\SEA\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 2, 1, 34
"d:\servidores\xampp\htdocs\SEA\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\servidores\xampp\htdocs\SEA\public\assets\css\dataTables.dataTables.css", "CSS", 0, 0, 0, 0, 0, 730, 0, 0, 0, 15, 13, 758
"d:\servidores\xampp\htdocs\SEA\public\assets\css\dataTables.tailwindcss.css", "CSS", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 7, 160
"d:\servidores\xampp\htdocs\SEA\public\assets\css\flowbite.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\all.css", "CSS", 0, 0, 0, 0, 0, 5471, 0, 0, 0, 7, 2553, 8031
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\all.min.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 5, 1, 9
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\brands.css", "CSS", 0, 0, 0, 0, 0, 1062, 0, 0, 0, 5, 528, 1595
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\brands.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\fontawesome.css", "CSS", 0, 0, 0, 0, 0, 4352, 0, 0, 0, 7, 2017, 6376
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\fontawesome.min.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 5, 1, 9
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\regular.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 3, 20
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\regular.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\solid.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 3, 20
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\solid.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\svg-with-js.css", "CSS", 0, 0, 0, 0, 0, 558, 0, 0, 0, 5, 78, 641
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\svg-with-js.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\v4-font-face.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 4, 27
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\v4-font-face.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\v4-shims.css", "CSS", 0, 0, 0, 0, 0, 1566, 0, 0, 0, 5, 624, 2195
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\v4-shims.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\v5-font-face.css", "CSS", 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 3, 23
